x,y,z,yaw,velocity,change_flag
-185.6968,410.6477,35.8018,-0.8274,25.0614,0
-185.2446,410.1281,35.8048,-0.8405,25.0123,0
-184.797,409.6275,35.7937,-0.8539,25.0754,0
-184.3439,409.1157,35.7773,-0.8665,25.0614,0
-183.892,408.5923,35.7763,-0.8786,25.1035,0
-183.4549,408.0475,35.7414,-0.8908,25.1246,0
-183.028,407.5145,35.7242,-0.9021,25.0965,0
-182.596,406.9608,35.7048,-0.9143,25.1667,0
-182.1486,406.401,35.7044,-0.9266,25.2439,0
-181.7433,405.8441,35.6989,-0.9373,25.3422,0
-181.3916,405.3478,35.6897,-0.9487,25.3422,0
-181.0136,404.8038,35.6729,-0.9591,25.3633,0
-180.6309,404.2408,35.6627,-0.9681,25.4335,0
-180.2281,403.6605,35.6478,-0.9738,25.4896,0
-179.8281,403.091,35.6346,-0.978,25.63,0
-179.4421,402.5145,35.6091,-0.9819,25.7845,0
-179.0443,401.9288,35.5962,-0.986,25.8266,0
-178.6866,401.3457,35.5688,-0.9878,25.9389,0
-178.3435,400.7663,35.536,-0.9872,26.0021,0
-177.914,400.1564,35.517,-0.9854,26.0863,0
-177.5365,399.5891,35.4976,-0.984,26.2057,0
-177.1225,398.9769,35.4796,-0.9834,26.1916,0
-176.6916,398.325,35.4714,-0.9815,26.318,0
-176.2767,397.7155,35.4474,-0.9796,26.4865,0
-175.8649,397.0982,35.4415,-0.9786,26.669,0
-175.4528,396.494,35.4258,-0.9768,26.7181,0
-175.0636,395.9269,35.413,-0.9758,26.8304,0
-174.6255,395.2804,35.386,-0.9742,26.8936,0
-174.1968,394.6224,35.3753,-0.9717,26.9849,0
-173.8007,394.0182,35.3634,-0.9686,27.0691,0
-173.3842,393.4114,35.3406,-0.9659,27.2095,0
-172.9676,392.812,35.3225,-0.9618,27.2938,0
-172.5828,392.2394,35.2966,-0.9577,27.3991,0
-172.1195,391.6303,35.285,-0.9537,27.4622,0
-171.7177,391.0456,35.2691,-0.9499,27.6518,0
-171.3077,390.4097,35.2709,-0.9436,27.715,0
-170.8314,389.7804,35.244,-0.9382,27.7501,0
-170.327,389.125,35.2251,-0.933,27.9185,0
-169.843,388.5115,35.2014,-0.927,28.0449,0
-169.4491,387.929,35.1943,-0.9215,28.094,0
-169.0005,387.3275,35.1761,-0.9162,28.3046,0
-168.5454,386.7106,35.1696,-0.9102,28.3748,0
-168.0802,386.0248,35.1586,-0.9037,28.431,0
-167.6006,385.4056,35.146,-0.8984,28.5854,0
-167.0762,384.7869,35.1375,-0.8932,28.768,0
-166.5576,384.1732,35.1227,-0.8872,28.9715,0
-166.0491,383.5788,35.1014,-0.8806,29.0277,0
-165.5546,382.9456,35.0683,-0.8734,29.133,0
-165.0883,382.348,35.0507,-0.8673,29.2594,0
-164.5512,381.7443,35.0511,-0.8605,29.5823,0
-163.9876,381.1049,35.0365,-0.8541,29.6384,0
-163.4249,380.459,35.0137,-0.8479,29.8139,0
-162.9091,379.8701,34.9935,-0.8425,29.8139,0
-162.3418,379.2352,34.9964,-0.8363,30.2351,0
-161.7767,378.6187,35.002,-0.8302,30.3194,0
-161.2502,378.0083,34.9901,-0.8239,30.1509,0
-160.7215,377.399,34.9778,-0.8177,30.4457,0
-160.1347,376.7628,34.9539,-0.8116,30.7336,0
-159.4674,376.0992,34.9287,-0.806,30.8459,0
-158.9542,375.5022,34.9239,-0.8015,30.9231,0
-158.3506,374.9059,34.9095,-0.7969,31.0354,0
-157.6793,374.2788,34.9102,-0.7919,31.2671,0
-157.062,373.6555,34.8947,-0.7877,31.4145,0
-156.4361,373.0429,34.8799,-0.7826,31.4917,0
-155.8636,372.4287,34.8785,-0.7761,31.7023,0
-155.2644,371.8325,34.8726,-0.7705,31.7585,0
-154.6483,371.207,34.8653,-0.7638,31.8006,0
-154.0225,370.5792,34.8493,-0.7586,31.7515,0
-153.3693,369.9526,34.8411,-0.7528,31.8848,0
-152.7033,369.3465,34.8345,-0.7474,31.955,0
-152.0472,368.7481,34.8246,-0.7421,32.1516,0
-151.4102,368.1577,34.8077,-0.7368,32.1235,0
-150.7985,367.5605,34.8198,-0.7318,32.278,0
-150.1154,366.9534,34.8431,-0.7258,32.2499,0
-149.4247,366.3541,34.8512,-0.7199,32.3833,0
-148.8021,365.7997,34.8461,-0.7154,32.5096,0
-148.1202,365.2139,34.814,-0.709,32.4605,0
-147.4509,364.6537,34.8188,-0.7014,32.4886,0
-146.7994,364.0924,34.8187,-0.6935,32.5728,0
-146.0764,363.4904,34.8602,-0.6828,32.5798,0
-145.377,362.8834,34.8746,-0.6734,32.5728,0
-144.6939,362.3599,34.8699,-0.6641,32.4605,0
-143.9458,361.7586,34.8481,-0.6546,32.5798,0
-143.2569,361.1872,34.8454,-0.6456,32.5166,0
-142.5525,360.6799,34.8775,-0.6374,32.5447,0
-141.855,360.166,34.8997,-0.6289,32.3903,0
-141.136,359.623,34.8796,-0.6206,32.1797,0
-140.4069,359.0925,34.8733,-0.6123,31.9901,0
-139.6312,358.5708,34.8861,-0.6038,31.9972,0
-138.9267,358.0893,34.8945,-0.5952,32.0603,0
-138.1973,357.5865,34.9175,-0.5869,31.934,0
-137.4497,357.0724,34.9332,-0.5782,31.927,0
-136.7544,356.6201,34.9247,-0.5701,31.7585,0
-136.0189,356.1551,34.9111,-0.5614,31.597,0
-135.2552,355.6603,34.9139,-0.5522,31.5128,0
-134.564,355.204,34.9228,-0.543,31.583,0
-133.8313,354.7465,34.9242,-0.5339,31.4005,0
-133.0622,354.299,34.9596,-0.5251,31.3022,0
-132.317,353.8596,34.9724,-0.5162,31.1758,0
-131.5428,353.4297,34.9583,-0.5075,30.9933,0
-130.8173,353.0313,34.9502,-0.4994,30.9512,0
-130.1147,352.6305,34.9694,-0.4918,30.895,0
-129.3701,352.212,34.9987,-0.4841,30.8389,0
-128.6265,351.8403,35.0186,-0.4764,30.8108,0
-127.8868,351.4572,35.0147,-0.4692,30.7757,0
-127.0926,351.0492,35.0182,-0.4622,30.6142,0
-126.3322,350.6467,35.0066,-0.4551,30.53,0
-125.6096,350.2509,35.0245,-0.4488,30.5861,0
-124.7587,349.8659,35.0531,-0.4419,30.3896,0
-123.9414,349.4731,35.0837,-0.436,30.3194,0
-123.2911,349.1614,35.1153,-0.432,30.3966,0
-122.5367,348.8215,35.1071,-0.4269,29.9543,0
-121.6725,348.4178,35.0759,-0.4205,29.9754,0
-120.9695,348.0952,35.0656,-0.4168,30.0175,0
-120.1762,347.7321,35.1131,-0.4125,30.1369,0
-119.4998,347.4088,35.1608,-0.4089,29.9824,0
-118.7024,347.0723,35.1832,-0.406,29.7929,0
-117.9415,346.7321,35.171,-0.4026,29.8701,0
-117.2425,346.42,35.1736,-0.3992,29.8561,0
-116.4325,346.0712,35.1906,-0.3954,29.7227,0
-115.7553,345.8186,35.2058,-0.3933,29.6384,0
-114.9521,345.4583,35.2249,-0.3891,29.7086,0
-113.3912,344.7952,35.2499,-0.3837,29.821,0
-112.6912,344.5172,35.2458,-0.3824,29.7578,0
-111.9902,344.2306,35.2449,-0.3815,29.7157,0
-111.1842,343.8932,35.2643,-0.3792,29.7367,0
-110.4152,343.603,35.2898,-0.3772,29.7718,0
-109.6538,343.3067,35.3012,-0.3749,29.7227,0
-108.8423,342.9959,35.3023,-0.3718,29.835,0
-108.0504,342.6818,35.3257,-0.3689,29.9403,0
-107.3182,342.3912,35.3582,-0.3656,29.9192,0
-106.5755,342.0767,35.3885,-0.3628,29.9122,0
-105.7521,341.7587,35.4026,-0.3595,29.9684,0
-104.961,341.4786,35.417,-0.3569,30.0456,0
-104.1938,341.1857,35.4136,-0.3541,30.0316,0
-103.4455,340.8965,35.4321,-0.352,30.0456,0
-102.7091,340.6147,35.4494,-0.3501,30.0596,0
-101.9969,340.3275,35.4696,-0.348,30.179,0
-101.0953,340.0215,35.4977,-0.3439,30.179,0
-100.3527,339.7617,35.5212,-0.342,30.2913,0
-99.5626,339.4687,35.5502,-0.3392,30.2913,0
-98.779,339.1932,35.5608,-0.3368,30.3896,0
-97.9908,338.9018,35.5665,-0.3337,30.3896,0
-97.2324,338.636,35.5872,-0.3308,30.4879,0
-96.4331,338.3444,35.6164,-0.3271,30.5791,0
-95.5416,338.0515,35.6655,-0.3224,30.6353,0
-94.7837,337.8119,35.6923,-0.3186,30.544,0
-93.9922,337.5634,35.6984,-0.3159,30.8038,0
-93.1959,337.2893,35.701,-0.3122,30.9301,0
-92.3783,337.0231,35.7119,-0.3084,31.0705,0
-91.5769,336.7491,35.7465,-0.305,30.888,0
-90.8076,336.515,35.7813,-0.3013,30.9161,0
-90.0212,336.2648,35.7969,-0.2976,31.0846,0
-89.2023,336.0081,35.8066,-0.2938,31.1828,0
-88.2854,335.709,35.8338,-0.2893,31.1899,0
-87.4496,335.4735,35.8707,-0.2849,31.3934,0
-86.7084,335.2539,35.9312,-0.2827,31.4777,0
-85.926,335.0138,35.9686,-0.2791,31.4847,0
-85.1283,334.7708,35.9643,-0.2752,31.4636,0
-84.2041,334.5255,35.9512,-0.2699,31.6321,0
-83.3143,334.2589,35.9584,-0.2658,31.6532,0
-82.509,334.0461,36.0064,-0.2624,31.6391,0
-81.7896,333.837,36.0601,-0.2593,31.6602,0
-80.9125,333.5764,36.0858,-0.255,31.7093,0
-80.0072,333.3436,36.0645,-0.2499,31.6181,0
-79.0512,333.1224,36.052,-0.2447,31.8638,0
-78.4062,332.9305,36.0765,-0.2438,32.0182,0
-76.6237,332.5052,36.1919,-0.2362,32.1937,0
-74.8046,332.0478,36.2327,-0.2296,32.2218,0
-74.0454,331.8658,36.206,-0.2275,32.3833,0
-73.2862,331.658,36.1891,-0.2252,32.6992,0
-72.4478,331.4792,36.2263,-0.2238,32.6921,0
-71.4896,331.2624,36.288,-0.22,32.7694,0
-70.4868,331.0525,36.3485,-0.2166,32.9098,0
-69.5689,330.8582,36.3728,-0.2133,32.7202,0
-68.7965,330.6753,36.3461,-0.2119,32.8466,0
-67.92,330.4629,36.3221,-0.2099,33.0502,0
-66.8944,330.2706,36.3338,-0.2066,33.1063,0
-65.1606,329.9081,36.4572,-0.2041,33.0572,0
-64.3684,329.701,36.4799,-0.2028,33.0923,0
-63.555,329.5312,36.489,-0.2016,33.0923,0
-61.8043,329.1781,36.4647,-0.1965,33.1274,0
-60.8553,328.9775,36.5048,-0.1936,33.2467,0
-59.9096,328.7859,36.5679,-0.1898,33.1625,0
-58.9602,328.618,36.602,-0.1857,33.1274,0
-58.1,328.464,36.6061,-0.1822,33.0291,0
-57.222,328.3042,36.5995,-0.1779,32.9098,0
-56.3419,328.1266,36.6063,-0.1738,33.0151,0
-55.3735,327.999,36.6416,-0.1681,33.0502,0
-54.4296,327.8153,36.6842,-0.1636,32.8606,0
-53.5181,327.6452,36.7099,-0.1587,32.8045,0
-52.6333,327.4949,36.7223,-0.1543,32.7202,0
-51.7097,327.3614,36.7219,-0.1499,32.7202,0
-50.7908,327.2173,36.7289,-0.1454,32.636,0
-49.9847,327.0891,36.7479,-0.142,32.6641,0
-49.1861,326.9533,36.7862,-0.139,32.7413,0
-48.3782,326.8054,36.8165,-0.1363,32.8115,0
-47.4727,326.6794,36.8276,-0.1322,32.9168,0
-46.565,326.5465,36.8303,-0.129,32.98,0
-45.7638,326.4123,36.8488,-0.1263,33.0923,0
-44.7588,326.3123,36.8794,-0.1225,33.1274,0
-43.7448,326.1999,36.9126,-0.1181,33.1765,0
-42.778,326.1089,36.9321,-0.1151,33.2888,0
-41.845,326.0047,36.9448,-0.1119,33.1484,0
-41.1438,325.8737,36.9366,-0.1116,33.1274,0
-40.3349,325.7457,36.9448,-0.1102,33.3169,0
-39.2847,325.6839,36.9715,-0.1059,33.4082,0
-37.3053,325.501,37.0652,-0.0992,33.7522,0
-36.356,325.3979,37.0727,-0.0959,33.6118,0
-35.5823,325.2893,37.0552,-0.0951,33.6539,0
-33.8708,325.0789,37.0962,-0.0887,33.9206,0
-32.9307,325.0231,37.1379,-0.0848,33.8364,0
-31.994,324.9459,37.1589,-0.0815,33.8575,0
-31.0439,324.8913,37.1711,-0.0771,33.9698,0
-30.125,324.7944,37.1875,-0.0734,34.04,0
-29.1269,324.7352,37.2067,-0.0689,34.1523,0
-28.1364,324.6719,37.2183,-0.0644,34.1523,0
-27.1341,324.6242,37.232,-0.06,34.1944,0
-26.3075,324.5336,37.2607,-0.0574,34.2857,0
-25.4878,324.4852,37.29,-0.0539,34.384,0
-24.4441,324.4329,37.3001,-0.0491,34.3769,0
-23.5448,324.3746,37.3007,-0.0451,34.4822,0
