x,y
-951.907,-539.984
-948.099,-549.231
-944.292,-558.479
-940.485,-567.725
-936.678,-576.972
-932.871,-586.219
-929.064,-595.466
-925.257,-604.714
-921.45,-613.96
-917.643,-623.207
-913.835,-632.454
-910.028,-641.701
-906.221,-650.948
-902.414,-660.195
-898.607,-669.442
-894.8,-678.688
-890.992,-687.936
-887.185,-697.183
-883.378,-706.43
-879.571,-715.677
-875.764,-724.923
-871.956,-734.171
-868.15,-743.417
-864.343,-752.665
-860.535,-761.912
-856.728,-771.158
-852.921,-780.406
-849.114,-789.652
-845.307,-798.899
-841.5,-808.146
-837.692,-817.393
-833.885,-826.641
-830.079,-835.887
-826.271,-845.134
-822.464,-854.381
-818.657,-863.628
-814.85,-872.875
-811.043,-882.122
-807.235,-891.369
-803.429,-900.616
-799.621,-909.862
-795.815,-919.11
-792.007,-928.356
-788.2,-937.604
-784.393,-946.851
-780.586,-956.098
-776.778,-965.345
-772.972,-974.591
-769.164,-983.839
-765.358,-993.085
-761.548,-1002.33
-757.617,-1011.53
-753.499,-1020.64
-749.195,-1029.66
-744.707,-1038.6
-740.037,-1047.44
-735.186,-1056.19
-730.158,-1064.83
-724.954,-1073.37
-719.575,-1081.8
-714.026,-1090.12
-708.306,-1098.32
-702.421,-1106.41
-696.37,-1114.37
-690.159,-1122.2
-683.787,-1129.91
-677.259,-1137.49
-670.578,-1144.93
-663.745,-1152.23
-656.764,-1159.39
-649.638,-1166.4
-642.37,-1173.27
-634.962,-1179.99
-627.419,-1186.55
-619.743,-1192.96
-611.936,-1199.21
-604.004,-1205.3
-595.949,-1211.23
-587.774,-1216.99
-579.483,-1222.58
-571.079,-1228
-562.565,-1233.24
-553.946,-1238.31
-545.225,-1243.2
-536.405,-1247.92
-527.491,-1252.45
-518.486,-1256.8
-509.394,-1260.96
-500.218,-1264.94
-490.963,-1268.72
-481.632,-1272.32
-472.229,-1275.72
-462.759,-1278.93
-453.225,-1281.95
-443.631,-1284.77
-433.982,-1287.39
-424.28,-1289.82
-414.531,-1292.04
-404.738,-1294.07
-394.907,-1295.89
-385.039,-1297.52
-375.141,-1298.94
-365.216,-1300.16
-355.267,-1301.17
-345.3,-1301.98
-335.319,-1302.58
-325.327,-1302.98
-315.328,-1303.18
-305.329,-1303.17
-295.331,-1302.96
-285.34,-1302.54
-275.359,-1301.92
-265.394,-1301.09
-255.447,-1300.06
-245.524,-1298.82
-235.628,-1297.39
-225.763,-1295.74
-215.935,-1293.9
-206.146,-1291.86
-196.401,-1289.62
-186.704,-1287.17
-177.059,-1284.53
-167.47,-1281.7
-157.941,-1278.66
-148.476,-1275.44
-139.08,-1272.02
-129.755,-1268.4
-120.507,-1264.6
-111.338,-1260.61
-102.254,-1256.43
-93.2559,-1252.07
-84.3494,-1247.52
-75.5385,-1242.79
-66.8257,-1237.88
-58.2163,-1232.8
-49.7118,-1227.54
-41.3175,-1222.1
-33.036,-1216.5
-24.8707,-1210.72
-16.8258,-1204.78
-8.90412,-1198.68
-1.10893,-1192.42
6.55629,-1186
14.0881,-1179.42
21.483,-1172.69
28.7394,-1165.81
35.8529,-1158.78
42.8209,-1151.61
49.6408,-1144.29
56.3093,-1136.84
62.8237,-1129.25
69.1814,-1121.54
75.3799,-1113.69
81.4157,-1105.72
87.288,-1097.62
92.9924,-1089.41
98.5272,-1081.08
103.891,-1072.64
109.081,-1064.09
114.093,-1055.44
118.928,-1046.69
123.582,-1037.83
128.055,-1028.89
132.343,-1019.86
136.445,-1010.74
140.359,-1001.54
144.085,-992.256
147.633,-982.906
151.146,-973.543
154.659,-964.181
158.172,-954.818
161.684,-945.455
165.197,-936.092
168.709,-926.73
172.222,-917.367
175.734,-908.004
179.247,-898.641
182.759,-889.278
186.272,-879.915
189.785,-870.552
193.297,-861.189
196.81,-851.826
200.322,-842.464
203.835,-833.101
207.348,-823.738
210.86,-814.375
214.372,-805.013
217.885,-795.65
221.397,-786.287
224.91,-776.924
228.423,-767.562
231.935,-758.199
235.448,-748.836
