x,y,z,yaw,velocity,change_flag
-115.4389,38.7406,-38.7207,0.457,21.2776,0
-114.3799,39.2286,-38.8119,0.4577,21.1372,0
-113.3268,39.7412,-38.876,0.4595,21.1934,0
-111.7496,40.5372,-38.9668,0.4639,21.0881,0
-107.5927,42.6815,-39.2671,0.4944,20.4352,0
-105.1624,43.9863,-39.4793,0.5231,20.5546,0
-101.7293,46.1289,-39.6173,0.5866,20.1334,0
-99.8991,47.3649,-39.7114,0.6232,19.312,0
-98.6285,48.2971,-39.7239,0.6488,18.5328,0
-97.0447,49.481,-39.7634,0.6831,17.4517,0
-95.9375,50.4283,-39.7622,0.7086,16.2373,0
-94.6219,51.5687,-39.7801,0.745,14.6858,0
-93.7724,52.3302,-39.7727,0.7712,13.9628,0
-92.9621,53.1283,-39.7706,0.7968,13.331,0
-92.2109,53.9074,-39.7691,0.8236,12.7624,0
-91.5232,54.6342,-39.7586,0.8532,12.1446,0
-90.8454,55.4233,-39.7595,0.8867,11,0
-90.0709,56.4014,-39.7439,0.9342,10,0
-89.3924,57.3377,-39.7477,0.9796,9,0
-88.8432,58.1763,-39.7417,1.0202,8,0
-88.3107,59.056,-39.7311,1.0561,7,0
-87.7668,60.0411,-39.7213,1.0973,6,0
-87.3107,60.9627,-39.7157,1.1286,5,0
-86.8368,61.9639,-39.7052,1.153,4,0
-86.6903,62.2749,-39.7001,1.1731,3,0
-86.0097,63.8727,-39.6892,1.1916,2,0
-85.5897,64.975,-39.6797,1.21,1,0
-85.188,66.0405,-39.6699,1.2232,0,0
