Latitude,Longitude,Speed
38.5422744751,-77.3470306396,65
38.5425109863,-77.3468551636,65
38.5427513123,-77.3466796875,65
38.5429878235,-77.3465118408,65
38.5432319641,-77.3463516235,65
38.5434761047,-77.3461990356,65
38.5437202454,-77.3460464478,65
38.5439605713,-77.3459014893,65
38.5442047119,-77.3457565308,65
38.5444526672,-77.3456192017,65
38.5446968079,-77.3454818726,65
38.5449447632,-77.3453598022,65
38.5451927185,-77.3452377319,65
38.5454444885,-77.345123291,65
38.5456962585,-77.3450088501,65
38.5459518433,-77.344909668,65
38.5462036133,-77.3448104858,65
38.5464630127,-77.3447189331,65
38.5467185974,-77.344619751,65
38.5469741821,-77.3445205688,65
38.5472259521,-77.3444213867,65
38.5474815369,-77.3443222046,65
38.5477409363,-77.3442306519,65
38.5479927063,-77.3441314697,65
38.548248291,-77.3440322876,65
38.5485076904,-77.3439407349,65
38.5487632751,-77.3438415527,65
38.5490226746,-77.3437423706,65
38.549282074,-77.3436431885,65
38.5495376587,-77.3435440063,65
38.5498008728,-77.3434448242,65
38.5500564575,-77.3433456421,65
38.5503196716,-77.3432388306,65
38.550579071,-77.3431472778,65
38.5508384705,-77.3430404663,65
38.5511016846,-77.3429336548,65
38.551361084,-77.3428344727,65
38.5516204834,-77.3427352905,65
38.5518760681,-77.3426361084,65
38.5521316528,-77.3425292969,65
38.5523834229,-77.3424301147,65
38.5526390076,-77.3423309326,65
38.5530204773,-77.3422241211,65
38.5533256531,-77.3421173096,65
38.5535736084,-77.3420257568,65
38.5538215637,-77.3419189453,65
38.5540733337,-77.3418273926,65
38.5543174744,-77.3417205811,65
38.5545692444,-77.3416290283,65
38.5548171997,-77.3415298462,65
38.5550689697,-77.3414306641,65
38.555316925,-77.3413314819,65
38.5555725098,-77.3412322998,65
38.5558242798,-77.3411407471,65
38.5560798645,-77.3410415649,65
38.5563392639,-77.3409423828,65
38.5565986633,-77.3408508301,65
38.5568580627,-77.3407592773,65
38.5571212769,-77.3406600952,65
38.5573806763,-77.3405609131,65
38.557636261,-77.340461731,65
38.5578956604,-77.3403625488,65
38.5581512451,-77.3402709961,65
38.5584106445,-77.340171814,65
38.5586700439,-77.3400726318,65
38.5589294434,-77.3399810791,65
38.5591850281,-77.3398895264,65
38.5594291687,-77.3397979736,65
38.5596580505,-77.3397293091,65
38.5598716736,-77.3396453857,65
38.5600509644,-77.3395767212,65
38.5602035522,-77.339515686,65
38.5603370667,-77.3394699097,65
38.5604476929,-77.3394241333,65
38.5605602,-77.3393914,65
38.5606715,-77.3393536,65
38.5608131,-77.339307,65
38.5608634949,-77.3392944336,65
38.5609321594,-77.339263916,65
38.5610237122,-77.3392333984,65
38.5611381531,-77.3391876221,65
38.5612831116,-77.3391418457,65
38.5614471436,-77.3390808105,65
38.5616340637,-77.3390045166,65
38.5618362427,-77.3389358521,65
38.5620536804,-77.3388442993,65
38.5622825623,-77.3387527466,65
38.5625267029,-77.3386459351,65
38.5627708435,-77.3385467529,65
38.5630187988,-77.3384475708,65
38.5632591248,-77.3383483887,65
38.5634994507,-77.3382492065,65
38.5637397766,-77.3381576538,65
38.5639686584,-77.3380508423,65
38.5641975403,-77.3379440308,65
38.5644340515,-77.3378295898,65
38.5646781921,-77.3377380371,65
38.5649108887,-77.3376312256,65
38.5651435852,-77.3375244141,65
38.565372467,-77.3374023438,65
38.5655975342,-77.337272644,65
38.5658187866,-77.3371276855,65
38.5660400391,-77.3369903564,65
38.5662536621,-77.3368530273,65
38.5664710999,-77.3367004395,65
38.5666885376,-77.3365478516,65
38.5668983459,-77.3363952637,65
38.567111969,-77.336227417,65
38.5673179626,-77.3360595703,65
38.5675239563,-77.3358840942,65
38.5677261353,-77.3357086182,65
38.5679244995,-77.3355255127,65
